Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
703.017,49.251307,-122.895826,19.336,35.099998,2,349.917786,0,0.646425,0
708.289,49.251307,-122.895826,19.336,35.099998,2,349.917786,0,0.646425,0
709.116,49.251258,-122.895824,19.903999,35.099998,3.400002,182.474533,0,0.466644,0
714.295,49.251258,-122.895824,19.903999,35.099998,3.400002,182.474533,0,0.466644,0
715.148,49.251268,-122.895807,26.066999,35.099998,2,90.922775,0,0.147549,0
720.338,49.251268,-122.895807,26.066999,35.099998,2,90.922775,0,0.147549,0
721.2,49.251264,-122.895872,24.802,35.099998,2,254.582016,0,0.953732,0
726.383,49.251264,-122.895872,24.802,35.099998,2,254.582016,0,0.953732,0
727.258,49.251256,-122.895909,26.033001,35.099998,2,254.054245,0,0.53056,0
727.96,49.251272,-122.895907,26.658001,35.099998,2,311.003052,0,0.515849,0
728.72,49.251281,-122.895908,25.497999,35.099998,2,330.105988,0,0.634345,0
729.379,49.251287,-122.895908,24.676001,35.099998,2,337.060303,0,0.678461,0
729.938,49.25129,-122.895909,24.056999,35.099998,2,338.052002,0,0.662242,0
730.598,49.251292,-122.895911,23.733999,35.099998,2,338.227844,0,0.607861,0
731.399,49.251294,-122.895912,23.506001,35.099998,2,337.938599,0,0.538117,0
732.181,49.251295,-122.895914,23.327,35.099998,2,335.434937,0,0.472427,0
733.298,49.251297,-122.895917,19.790001,35.099998,4.599998,330.577057,0,0.403224,0
738.462,49.251297,-122.895917,19.790001,35.099998,4.599998,330.577057,0,0.403224,0
740.754,49.251294,-122.895921,15.557,35.099998,4.599998,293.715759,0,0.067594,0
745.844,49.251294,-122.895921,15.557,35.099998,4.599998,293.715759,0,0.067594,0
751.749,49.251313,-122.895924,13.349,35.099998,4.599998,350.609009,0,0.299305,0
757.325,49.251326,-122.895925,1100,35.099998,4.599998,354.973907,0,0.265329,0
758.874,49.251321,-122.895846,21.339001,35.099998,4.599998,83.406471,0,0.468158,0
763.994,49.251321,-122.895846,21.339001,35.099998,4.599998,83.406471,0,0.468158,0
769.647,49.251321,-122.895832,28.941999,35.099998,4.599998,86.404892,0,0.300249,0
772.263,49.251296,-122.895845,14.762,35.099998,4.599998,183.037125,0,0.244166,0
777.432,49.251296,-122.895845,14.762,35.099998,4.599998,183.037125,0,0.244166,0
778.446,49.251309,-122.895806,23.356001,35.099998,4.599998,69.97718,0,0.385817,0
783.528,49.251309,-122.895806,23.356001,35.099998,4.599998,69.97718,0,0.385817,0
784.602,49.251317,-122.89578,24.475,35.099998,4.599998,65.312843,0,0.352368,0
789.77,49.251317,-122.89578,24.475,35.099998,4.599998,65.312843,0,0.352368,0
790.794,49.251307,-122.895861,20.386,35.099998,2,261.506378,0,0.542935,0
795.912,49.251307,-122.895861,20.386,35.099998,2,261.506378,0,0.542935,0
796.99,49.251266,-122.895771,25.007999,35.099998,4.599998,131.729813,0,0.826976,0
802.176,49.251266,-122.895771,25.007999,35.099998,4.599998,131.729813,0,0.826976,0
